Channel	Position_x	Position_y	Value
MEG0111	-0.07917782567001766	0.051627781146274594	0.5913520450852595
MEG0121	-0.06353136754578023	0.057969162895052155	0.5651360479557359
MEG0131	-0.0730639251887479	0.03320062790557991	0.68556856205456
MEG0141	-0.08729516108785512	0.019972377595029966	0.6230489438366015
MEG0211	-0.06012539158681645	0.03112812918796779	0.7168819127258841
MEG0221	-0.04653875097745701	0.03178404001246294	0.6282639314360349
MEG0231	-0.04972914648994039	0.009580229502114183	0.7733967804404938
MEG0241	-0.06316712438417035	0.006398418188404664	0.8393910371761015
MEG0311	-0.04109149156914975	0.06914696027120472	0.46772328323125567
MEG0321	-0.03907986262466153	0.0508175498392763	0.5071332807517546
MEG0331	-0.027374527214768678	0.04594113964943207	0.48975908191143264
MEG0341	-0.05229796797302414	0.052454985755394	0.5795284488343275
MEG0411	-0.033398098513486005	0.02936310086280192	0.5785675007641583
MEG0421	-0.019904518422652468	0.02729547953085679	0.553754934315207
MEG0431	-0.02086282715850025	0.009744304755951304	0.6663581987291713
MEG0441	-0.035467085513417915	0.010304423725947014	0.7114636795497048
MEG0511	-0.027580157794488448	0.07916023304550973	0.40563367597787636
MEG0521	-0.013586548125076415	0.08438625423996286	0.36842610922582075
MEG0531	-0.012577709673718764	0.07149512882671442	0.3955120721485197
MEG0541	-0.026876838781310294	0.06468805429445383	0.4453598955950228
MEG0611	-0.012766171855890778	0.057542489196904995	0.4379115312356184
MEG0621	0.0006163989371623319	0.04393204694549069	0.4642277723481335
MEG0631	-0.0063239257715200945	0.028229791529223024	0.5435851949126682
MEG0641	-0.013237912597600838	0.04314503199426717	0.47657592642981594
MEG0711	-0.006496195033277746	0.011968782810946425	0.641758218321854
MEG0721	0.007731529148149257	0.011818754427830218	0.6448053817637533
MEG0731	0.007813664322781116	-0.003385812554979035	0.8000275970677244
MEG0741	-0.006695582559343805	-0.003300555853520253	0.7875878873757971
MEG0811	0.0006218616091093528	0.08612123786942011	0.3521901261979879
MEG0821	0.0006183498914291204	0.07316221924768733	0.37432511278506236
MEG0911	0.014742868592142855	0.084430540901819	0.36301596635123773
MEG0921	0.02885860799865603	0.07912160415102726	0.4095014511528553
MEG0931	0.028050912932204512	0.06472083032613589	0.43117984670643217
MEG0941	0.013788266669402	0.07155716917239836	0.3854860617330676
MEG1011	0.0006165940325889956	0.05944544998873293	0.4193109663518104
MEG1021	0.013889131004995102	0.05755029301397215	0.4347748184666748
MEG1031	0.014311512603755377	0.04316668758662856	0.48703964119126064
MEG1041	0.007602375975687663	0.028348214453217255	0.5456167202660964
MEG1111	0.020983971291607405	0.027243779242786856	0.5713768130190551
MEG1121	0.03451188817753643	0.029306523189065008	0.5922584860137343
MEG1131	0.03654965990919965	0.010135080895589538	0.7346418811797619
MEG1141	0.021967252242070044	0.009898235047601123	0.7070599712810921
MEG1211	0.04244095650862856	0.06909525998313475	0.4530320196505292
MEG1221	0.05372722694201468	0.05225033065280762	0.5572837033007235
MEG1231	0.040238329141421475	0.0508175498392763	0.5068819672712972
MEG1241	0.028442664548976163	0.04597879306678114	0.4917721468585024
MEG1311	0.047697412589643606	0.03178404001246294	0.6227795408700081
MEG1321	0.06124230277769375	0.03096366374327731	0.705776429282002
MEG1331	0.06448420348282038	0.0062013718074587715	0.8556206999837556
MEG1341	0.05083688819576374	0.009580229502114183	0.7888337593395593
MEG1411	0.06480572074598756	0.05806163812729805	0.5404290859095056
MEG1421	0.0800001427666095	0.05216156223366862	0.5790129298979889
MEG1431	0.088290722923338	0.020272434361262446	0.6147731995935529
MEG1441	0.07406943689099142	0.03305723276697078	0.6584193383907888
MEG1511	-0.07677971268527811	0.003966358599422987	0.6976593651373083
MEG1521	-0.07222950204884139	-0.0219130497495601	0.8003491867736331
MEG1531	-0.07723721146084063	-0.04034605585305515	0.6692163411897347
MEG1541	-0.08653077720612637	-0.011924358999016683	0.6192459375424243
MEG1611	-0.06048943965299965	-0.01554240368678064	0.9248668956228823
MEG1621	-0.0477077627741182	-0.010552057767755885	0.8996073025574866
MEG1631	-0.03894583206653299	-0.028376951426292152	0.9907657754100971
MEG1641	-0.05136307068837788	-0.0353750243812716	1.0317687881425581
MEG1711	-0.06035287285432429	-0.06401171639551044	0.7461423825191811
MEG1721	-0.060797885522579316	-0.04522812381027304	0.8710295069859899
MEG1731	-0.04348433697736897	-0.06300814552067313	0.9811317071472194
MEG1741	-0.038393126722751074	-0.08072242007228236	0.7729470868869138
MEG1811	-0.03430782848809064	-0.007362052446125851	0.8417844616872511
MEG1821	-0.020584425984629173	-0.005925369724060938	0.812033838330807
MEG1831	-0.0068963357533965925	-0.017891352623997075	0.956033600099228
MEG1841	-0.023754141381884537	-0.02371670696920839	0.9736789820398442
MEG1911	-0.02532095275354443	-0.041218327505737416	1.0836543511079013
MEG1921	-0.019257386892357904	-0.06060242381429311	1.1364765611089656
MEG1931	-0.022558986798048387	-0.07438025794179808	0.9540970950821996
MEG1941	-0.037067453298466585	-0.050712646445076004	1.0907511708334279
MEG2011	-0.007849767103577383	-0.033039927219349424	1.0871602340434763
MEG2021	0.008912831956691208	-0.03301690595900126	1.1306532688120299
MEG2031	0.00923883641467198	-0.04802013446147769	1.2102249940064342
MEG2041	-0.008079979707058711	-0.047962191119753986	1.1879796668819944
MEG2111	0.0005200217963828467	-0.06377077354356175	1.1424681038687186
MEG2121	0.0005793308060932862	-0.07811340893130272	0.9132684732580493
MEG2131	0.014078958855153867	-0.08946464614177299	0.7561340704879627
MEG2141	-0.01299794522278555	-0.08944845322135862	0.7639560372129063
MEG2211	0.02169353335843928	-0.005875230199404379	0.8388844261966322
MEG2221	0.035449711893582876	-0.00723855704103799	0.853302820414567
MEG2231	0.024933092918445813	-0.02384039746972296	1.010520619042977
MEG2241	0.008102015363412884	-0.017910276880384955	0.967105428850443
MEG2311	0.026463616540743366	-0.04124486048376579	1.1146742423817746
MEG2321	0.038046236927255034	-0.05075069005327841	1.108846237628688
MEG2331	0.023643902338950275	-0.07436699145278389	0.9478361473235566
MEG2341	0.02020807677970459	-0.06063383417798844	1.1377346123727572
MEG2411	0.048881056543305726	-0.010370423925517637	0.9110055238709042
MEG2421	0.06152987343661871	-0.015654583557121148	0.9469324182010828
MEG2431	0.052335025977232566	-0.035503202076599766	1.0590973383705968
MEG2441	0.04010449367871958	-0.028376951426292152	1.0105712364050041
MEG2511	0.044540573490549046	-0.06303487359412817	0.9798716988049696
MEG2521	0.06193723268752467	-0.04513291724205362	0.8873342680333975
MEG2531	0.0614079387949443	-0.0640747322183278	0.7396312827696494
MEG2541	0.03945209457190471	-0.08076729202041855	0.7598769703854757
MEG2611	0.07775537478723972	0.003972796748503376	0.6860617389718104
MEG2621	0.0875922812958268	-0.011813154605809595	0.6002302032794614
MEG2631	0.07815473512565184	-0.04057158616629619	0.6609651747921631
MEG2641	0.07331851459370356	-0.021885541294398347	0.7934137030622004
